folio,carbono_arboles_tpha,date_distance,measurement_date,veg_type_id,veg_type,type_code,ecosystem,num_pixels,num_masked_pixels,elev_mean,slope_mean,vcf_mean,hh_mean,hv_mean,lsmask_mean,lsmask_min,lsmask_max,num_images
70933,2.5416018262269963,1705,2012-05-30,27,Selva baja caducifolia,TDF,Selvas,110.5000000000000000,110.5000000000000000,1586.1483781918566000,49.9099378881987580,24.5981711525189775,0.07707476715680134000,0.02199583623074969900,0.00000000000000000000,0,0,2
71526,5.8591387963788170,534,2009-03-16,22,Selva alta perennifolia,THF,Selvas,59.0000000000000000,59.0000000000000000,398.1186440677966000,32.1525423728813560,37.5762711864406800,0.08054141537562873000,0.02631236944117368000,0.00000000000000000000,0,0,1
73104,17.1037371984301953,-478,2006-06-08,38,Bosque de encino,BF,Bosques,23.0000000000000000,23.0000000000000000,1746.4347826086957000,36.3913043478260860,9.3043478260869570,0.08844519322975905000,0.02038098983603834000,0.00000000000000000000,0,0,1
49713,15.9968502587676095,12,2007-10-11,39,Bosque de encino-pino,CBF,Bosques,73.0000000000000000,73.0000000000000000,1832.7808219178082000,26.4931506849315070,17.9589041095890420,0.10016629829283545000,0.01538019417756381200,0.00000000000000000000,0,0,1
61591,204.4628405960254546,-696,2005-11-02,36,Bosque de pino,CF,Bosques,20.0000000000000000,20.0000000000000000,3146.5000000000000000,30.5000000000000000,51.6000000000000000,0.12739494707837200000,0.04237304916785846000,0.00000000000000000000,0,0,1
73763,18.0834018481167034,-956,2005-02-15,38,Bosque de encino,BF,Bosques,177.0000000000000000,177.0000000000000000,1890.9029445951182500,33.6649231563993275,38.5646390288002070,0.10378686218623959000,0.03284548047969772950,0.00000000000000000000,0,0,2
49406,11.6668835623934831,-15,2007-09-14,38,Bosque de encino,BF,Bosques,137.0000000000000000,137.0000000000000000,1864.0851260321599000,34.8202411994784880,10.4906019122120815,0.08864823271959709000,0.02038751914213995650,0.00000000000000000000,0,0,2
16245,22.5239931829197742,-662,2005-12-06,39,Bosque de encino-pino,CBF,Bosques,209.5000000000000000,209.5000000000000000,1579.7608263305323000,22.8792997198879550,31.1831232492997185,0.16285230320341604000,0.03234923243821868750,0.00000000000000000000,0,0,2
47793,2.3466936848194881,712,2009-09-10,26,Selva mediana subperennifolia,THF,Selvas,199.0000000000000000,199.0000000000000000,16.3969849246231160,0.80904522613065320000,79.5376884422110500,0.06735509597940774000,0.01725337791420260600,0.00000000000000000000,0,0,1
71424,131.4718766671357318,-366,2006-09-28,40,Bosque mesofilo de monta±a,THF,Bosques,82.0000000000000000,82.0000000000000000,2882.9634146341464000,28.6097560975609750,71.1219512195122000,0.16041679602504416000,0.04042311488772453000,0.00000000000000000000,0,0,1
50796,13.2665073721406570,-267,2007-01-05,38,Bosque de encino,BF,Bosques,273.0000000000000000,273.0000000000000000,1876.3919413919414000,30.1978021978021970,13.5860805860805860,0.11404988210050113000,0.03293161493756831000,0.00000000000000000000,0,0,1
